3d cylinder	3d圆柱体
CC Drizzle	CC细雨滴
CC Hair	CC毛发
CC Mr.Mercury	CC水银滴落
CC Pixel Polly	CC像素多边形
CC Rainfall	CC下雨
CC Scatterize	CC散射
Particle Playground	粒子运动场
Shatter	碎片
Wave World	波形环境
Brush Storkes	画笔描边
Cartoon	卡通
CC Block Load	CC块加载
CC Burn Film	CC胶片电影
CC Hextile	CC蜂巢
CC Mr.Smoothie	CC像素溶解
CC Threshold Rgb	CC阈值RGB
CC Vignette	CC暗角
Find Edges	查找边缘
Glow	发光
Mosaic	马赛克
Motion Tile	动态拼贴
Posterize	色调分离
Roughen Edges	毛边
Scatter	散布
Strobe Light	闪光灯
Threshold	阈值
Nnubers	编号
CC Force Motion Blur	CC强力运动模糊
CC Wide Time	CC放慢
Echo	残影
Posterize Time	色调分离时间
Time Difference	时差
Time Displacement	时间置换
Card Wipe	卡片擦除
CC Glass Wipe	CC玻璃擦除
CC Grid Wipe	CC网格擦除
CC Jaws	CC锯齿状过渡
CC Light Wipe	CC照明擦除
CC Radial Scalewipe	CC径向擦除
CC Scale Wipe	CC缩放擦除
CC Twister	CC扭曲器
CC Warpomatic	CC自动翘曲过渡
Gradient Wipe	渐变擦除
Iris Wipe	光圈擦除
Linear Wipe	渐变擦除
Radial Wipe	径向擦除
Venetian Blinds	百叶窗
Apply Color LUT	应用颜色 LUT
CC Overbrights	CC过亮
Cineon Converter	Cineon 转换器
Color Profile Converter	颜色配置文件转换器
Grow Bound	范围扩散
HDR Compander	HDR 压缩扩展器
HDR Highlight Compression	HDR 高光压缩
drag	拖拽
tweak	调整
take	选择
shrink	缩小
characters	角色
character	角色
